User,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,Angle10,Angle11,Angle12,Angle13,Angle14,Angle15,Angle16,Angle17,Angle18,Angle19,Angle20,Angle21,Angle22,Angle23,Angle24,Angle25,Angle26,Angle27,Angle28,Angle29,Angle30,Angle31,Angle32,Angle33,Angle34,Angle35,Angle36,Angle37,Angle38,Angle39,Angle40,Angle41,Angle42,Angle43,Angle44,Angle45,Angle46,Angle47,Angle48,Angle49,Angle50,Angle51,Angle52,Angle53,Angle54,Angle55,Angle56,Angle57,Angle58,Angle59,Angle60,Angle61,Angle62,Angle63,Angle64,Angle65,Angle66,Angle67,Angle68,Angle69,Angle70,Angle71,Angle72,Angle73,Angle74
Vane,12.47748498,167.9052175,17.2942771,160.0168196,17.9738502,164.7448618,170.3947698,4.969784417,0.971465546,179.9395791,18.64180069,47.90379237,171.9827675,152.1027489,119.5051784,33.71436983,3.620714904,150.4703618,38.26396898,46.12219734,167.5335786,134.6864264,161.5648697,7.275486719,81.34743812,18.77465289,156.6572169,137.6572388,104.5754212,109.6537802,49.38163519,27.71623277,26.45418239,130.747963,169.4791566,120.2563177,54.67225297,105.1287031,74.69759313,44.99991151,78.68997777,12.70710859,5.566791469,134.9995955,175.8146955,34.2055258,3.050069395,18.88141822,105.8536642,47.36136946,21.80144824,97.53412881,13.80732747,0.690300827,168.0322097,163.1969916,66.67462723,48.17416789,179.0964942,24.21252509,36.89851383,175.8834225,150.2550353,7.54398331,23.42882136,25.04270952,50.71062209,6.257225472,105.1287031,31.67134532,86.03232024,175.0532866,37.58384643,83.90677027
Vane,12.58271043,167.9052177,19.47423369,151.5043203,16.22791648,159.1455311,170.3947691,7.155571784,0.97173862,179.9393127,18.64180059,47.90379209,177.3572895,168.6900473,120.5102636,35.0539992,2.054655606,147.1429657,37.49148935,46.52790298,167.5335789,137.4502764,179.9700704,7.667661108,81.23443024,16.64504877,156.2517528,136.6498894,104.5754203,109.6537795,48.51861215,27.38742552,26.7400898,133.1990499,164.4155585,120.2563154,54.33914434,103.4119055,74.96517425,56.3098029,77.00529788,16.85838764,4.763638296,152.0193862,173.4534632,34.77918995,3.05006973,18.30450052,106.7462054,62.9361857,20.13628328,95.49092149,14.17992195,0.682083433,167.7774334,165.1670757,66.67462718,49.05675231,178.6366235,24.21252527,36.40470868,175.883421,145.9481513,7.407190623,23.42882183,24.65601373,50.71062204,6.278600071,103.4119055,32.04591817,86.00509389,175.4110779,37.1746885,82.98954135
Vane,12.85222303,162.3776866,19.06456742,158.6293204,18.50777706,165.9637403,167.9052048,4.969784266,2.854644766,174.8050945,17.97560095,50.19439494,171.9827651,168.6900461,120.5102646,34.06618721,2.154373737,147.1429653,38.26396889,46.52790252,171.6848381,134.686421,179.9699592,7.270269675,80.54374421,16.5618267,156.9566903,137.6572378,104.5754201,109.6537787,49.38163511,27.71623302,25.85775583,131.5068651,164.4155565,120.2563161,54.61380809,104.5041881,74.59543902,56.30980096,65.69539885,13.84439736,5.55456637,152.0193777,179.2460439,34.20552608,3.036738658,24.07572726,104.4930969,55.49147162,20.13628477,97.12799832,13.75344089,0.402609351,167.777434,162.8250993,74.80471644,49.05675199,172.5148833,23.9736713,36.89851387,175.8834218,149.5109742,8.042119456,23.82957582,24.65601281,48.30316384,6.291423622,104.5041881,31.73785862,86.41303395,175.0532876,37.17468679,85.69319406
Vane,11.2437818,168.6900385,23.48288514,149.2158135,17.31738869,174.0937974,167.9052053,7.155571055,2.85464327,175.2359857,17.97560087,47.90379227,171.9827669,152.1027486,112.3801686,37.05653164,3.620714032,147.4966302,38.133156,46.12219783,169.8949514,129.2067781,169.694018,7.66766081,80.44165372,16.36868324,155.456047,130.3285247,104.5754204,110.6588692,49.38163512,27.716233,28.05386049,129.8421857,169.4791543,120.2563177,55.49736866,104.2821423,73.75378452,44.99991234,65.69539938,12.70710859,4.763637735,134.999591,176.5049373,34.55405244,3.05006781,19.82279289,106.7462088,54.80608763,20.13635414,97.12799801,13.49465861,0.402609707,167.777435,163.5637939,59.54960974,48.74494166,178.6366231,23.97367098,36.89851382,176.019492,147.3251808,7.415928643,24.00727113,24.65601166,48.08195872,6.312977601,104.2821423,31.36191839,85.74049864,169.5257559,37.17468386,85.69319405
Vane,11.24378203,167.9052182,17.29427677,157.7509135,18.50777682,159.7751331,167.905205,11.30995154,0.955318728,179.9289796,18.64180041,44.99997827,179.2348344,152.1027487,119.5051795,33.30228929,2.054654537,147.1429655,35.53765995,47.29766488,167.5335797,134.6864238,169.6940097,7.053416731,81.34743892,16.56182683,155.859517,136.4439805,105.0636948,115.7692805,49.38163512,23.98873032,27.01675845,131.5068667,164.4155565,123.0090221,54.61380742,105.1287032,74.39223982,40.60123004,65.69539886,15.06847744,5.294137237,134.9995892,175.8147024,34.52813578,3.069859649,18.30449538,104.9256836,63.05633828,21.80144951,98.36162835,13.75344082,0.410828238,168.0382659,163.1969921,79.26559171,46.26501379,178.6366226,24.68104548,36.89851387,176.0194906,149.5109744,7.407190573,23.82957502,24.65601258,47.86243654,6.302381072,105.1287032,31.96337555,86.10697569,169.5257558,37.58683127,83.90677029
Vane,12.47748489,162.377687,19.06456817,157.7509146,18.50777641,165.9637405,167.9052041,4.969784702,0.955316794,174.8050909,18.64180043,44.99998278,175.2361966,152.1027481,119.5051801,37.05653133,3.620714281,148.4911245,37.35044576,46.52790218,169.894951,134.6864195,168.6898866,7.165448306,81.09231388,16.36868351,155.4560469,137.6572403,101.9136682,106.6069421,48.07514011,24.32093999,28.0538597,131.5068662,164.4155559,120.2563204,55.22010276,103.4119048,74.12465538,44.9999139,65.69539845,12.70710825,4.889762033,134.9995945,176.504931,34.77918909,3.069859146,23.49880055,104.925687,54.80608754,20.1363539,97.46770397,14.08110979,0.402610956,168.0621431,164.795182,66.67462638,48.17416849,178.2252244,24.68104469,36.89851407,173.1571442,149.510973,7.407190497,24.00728355,24.83529379,50.48940575,6.291008387,103.4119048,32.17695769,86.10697646,169.5257554,38.68488521,84.0247434
Vane,12.72123249,162.377687,17.29427754,157.7509119,18.50777621,165.9637404,176.8776772,11.3099517,0.955315105,175.2359806,18.64180039,47.29058641,176.6333679,152.1027479,119.5051804,34.60567983,4.902794,147.3060989,37.35044568,47.73171336,163.6023855,134.6864201,168.6898863,7.165448216,82.74136148,16.56182696,155.4560478,137.6572414,101.9646886,101.4965294,49.38163504,23.98873012,27.01675748,131.5068662,164.4155557,120.2563211,54.81574717,105.1287022,76.62536676,51.91112081,65.69539852,15.10753499,5.42521926,134.9995959,175.5324912,34.87515696,3.050067395,24.07572565,105.8536698,54.80608757,21.80144978,98.36162666,14.08110969,0.402611383,167.8013122,162.1001708,79.20342554,48.1741686,178.2788442,24.4764352,36.8985141,176.0194886,149.5109731,8.042119363,23.82957355,24.65601339,50.71062376,6.257225506,105.1287022,32.04591776,86.1069766,169.5257553,37.58976959,85.69319377
Vane,12.58270971,165.7841222,25.34619452,151.4107369,16.85626342,174.0937956,167.9052044,7.155571913,3.808915462,179.9281945,18.43495743,44.99998248,175.236197,170.5376868,115.2011587,35.05399862,3.620714861,151.6450314,37.35044576,46.12219702,169.8949512,133.7806532,179.9697386,7.667660715,81.76900318,16.36868418,156.1289555,130.3285252,101.9136685,110.6588699,48.4267939,28.04783314,26.88999909,129.8421846,164.7804927,120.2563254,54.67225378,105.1287022,75.07196728,50.06355965,65.6953983,13.94762689,4.889761756,140.193249,173.4534554,34.54179977,3.576638375,23.49880318,104.2215787,62.93618498,20.13628472,97.543174,14.08110972,0.006002367,165.3003743,165.6011202,66.67462594,41.82018877,172.5148834,24.68104482,36.76250048,172.87492,147.3251782,7.407190516,24.05042268,24.47915721,47.64291555,6.31297762,105.1287022,31.96337541,86.18084016,169.5257543,38.68488663,83.85256406
Vane,12.58270979,167.9052178,18.07910967,160.0168152,16.80762606,154.746821,176.2480764,11.30995373,0.955324541,174.8050752,18.59310052,47.4730059,171.9827695,152.1027484,112.3801723,33.30228842,2.154375568,147.142966,37.4914883,47.32600706,167.5335789,134.6864133,179.9696262,7.765180057,82.18468144,18.77465399,155.8698434,135.6204119,105.1156892,101.4965303,48.51861225,23.98873007,27.0167565,131.363579,164.4155554,120.2563228,55.00858459,105.3616097,76.35545328,40.60123772,77.00529625,15.63430768,5.01691443,134.9996018,175.532474,35.1527721,3.017420681,14.61356274,103.8891484,47.36136888,21.80144783,98.72842788,14.08110962,0.005900574,167.8013103,164.8828225,67.75095157,49.05675297,178.2788427,24.97668547,36.89851412,175.8834167,152.4297659,7.407190461,20.14229465,28.74162442,50.48940786,6.245000113,105.3616097,32.40526193,85.80171152,175.0532819,39.09413078,84.72206559
Vane,12.58270947,174.0938104,17.29427939,160.8209186,18.50777598,165.9637399,167.9052028,4.969786664,0.971742399,174.8051031,18.59310058,50.19439861,179.2348707,161.0753652,112.3801746,35.05399766,3.62071672,145.1246731,39.03974382,46.57305822,167.7842833,134.6864143,168.6899948,8.250726191,82.05708727,16.17187351,155.8944629,137.657241,104.5754227,115.769284,48.426794,28.09684185,27.01675641,132.2619373,164.4155533,120.2563253,55.3481587,105.599679,75.0972418,51.91112276,65.69539869,13.84439712,5.155866623,134.9996031,173.4534474,34.81561485,3.030519281,14.6135635,102.5285849,55.04934183,23.42872331,97.89503853,13.64571399,0.005968714,165.300374,164.7951799,80.44832665,49.63547822,178.2788449,25.18845158,37.26458468,172.8749187,149.5109673,7.956019347,20.41381803,28.47007184,50.26648303,6.265835347,105.599679,32.30941779,85.87709707,169.1596834,37.96541967,83.85256386
