Emotion,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,Angle10,Angle11,Angle12,Angle13,Angle14,Angle15,Angle16,Angle17,Angle18,Angle19,Angle20,Angle21,Angle22,Angle23,Angle24,Angle25,Angle26,Angle27,Angle28,Angle29,Angle30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feliz,5.194492673,179.9702052,15.94540873,163.8277923,6.831065291,178.1523083,168.690061,6.340214443,1.397413538,179.944567,23.99728827,54.85131041,175.6011861,158.1985973,124.2374823,32.44470485,3.814103627,155.938069,33.93272888,46.84760509,168.3010537,134.3701977,153.4349825,6.290681694,89.9999795,39.04016744,162.8756625,165.2214678,106.7085655,128.6597587,49.21096763,27.85661261,24.30456828,132.4737793,156.0374935,126.8698136,62.20566588,102.9883876,68.77580244,75.96364266,66.80138009,12.37774206,7.609529477,123.6898948,173.3085319,32.91358504,2.90672274,26.89636698,95.40366713,61.50435458,25.55998113,102.8674549,14.43814093,1.255529408,161.8083701,165.9266106,69.55043738,67.3801438,176.1859058,30.39362473,46.1344233,177.236042,163.6517259,1.826517999,30.57319472,27.07070688,51.19391884,7.052212249,102.9883876,36.57945263,89.81575802,168.6900457,41.15018093,79.84888932
Feliz,5.19449436,171.8698523,13.39251257,167.1711554,7.765218209,174.0937763,170.5376681,1.33232494,1.397415249,179.9444898,22.99590045,56.14286636,175.425939,158.1985974,124.2374832,29.24268579,3.814103949,155.9380681,33.93272943,48.21821818,171.0273654,133.8540505,153.4350193,6.29068204,89.65338476,41.92104841,161.838669,165.2214618,104.0241582,120.5296671,51.09277282,27.40558376,23.26443516,133.4233408,166.759438,126.8698068,61.99087613,104.97658,68.77580405,71.56493557,66.80137805,10.94673212,7.609529024,131.81993,171.5728506,32.98729932,2.918088197,21.50164574,98.12995473,62.53575499,22.6198871,103.9135003,13.94013601,1.255529812,166.1405802,165.9266109,69.5504377,60.67953151,175.6839511,30.59695191,45.69027865,177.2360407,160.5296139,1.867461497,30.89748022,26.73221386,48.20632002,7.034745462,104.97658,36.15407836,89.5359465,168.6900455,40.58903361,79.67058355
Feliz,5.19449369,170.5376311,7.815319474,167.1711544,6.83106609,168.6900565,178.1523364,1.332324582,1.397638828,179.9448086,23.99728837,55.85639619,173.5168828,158.1985975,135.0000145,32.44470501,2.078424317,154.6271135,33.9327295,47.83878251,174.2893952,139.969507,153.4350192,7.900980068,89.65338473,34.46729535,162.8756626,163.495305,107.4152136,128.659759,49.21096767,22.75444772,24.30456825,133.5037005,166.7594412,126.8698121,62.20566632,102.9883881,70.81004177,75.96364371,66.80137991,12.63709241,7.91504686,131.8199396,173.9201741,32.95524954,2.824698611,27.84175017,95.40366447,62.53575467,23.49858769,102.8674542,14.43814111,0.634282473,162.7035447,165.9266114,69.55043795,59.39360059,176.1859039,30.39362478,46.73279065,174.1139651,157.2970868,1.826518295,30.32372231,26.73221079,51.19391844,7.052212242,102.9883881,36.15407826,89.81575727,165.6021339,39.49470704,79.94422345
Feliz,5.19449482,179.9705493,7.815318806,167.1711547,6.831067658,168.6900567,171.8698787,6.709860754,1.43251458,179.9335787,23.99728831,58.84067184,172.1847075,158.1985975,124.2374813,32.4447052,2.078424337,149.7626086,30.7499671,49.56434563,170.9334662,138.9644452,153.4349837,7.900980185,89.65338564,42.82170714,161.8386717,165.2214552,103.8895987,110.2248282,49.03266185,28.84970895,24.30456814,133.4233423,161.5650256,126.8698114,61.15994148,102.9883882,69.3495617,71.56493995,82.56855898,12.07084435,6.842768242,143.1295276,173.9201758,33.29286022,2.889860429,21.50164325,95.40366354,62.53575519,23.49858692,102.8674543,14.80116393,1.270261735,162.7240059,165.9266119,69.55043795,58.57044183,177.4738485,30.39362479,46.73279061,170.5376543,163.8277443,1.639608266,30.3237209,26.73220956,51.15451283,7.037865972,102.9883882,36.38577585,89.53594632,176.221741,40.05421675,82.05652759
Feliz,5.042515433,179.972955,15.94541493,163.8277921,9.06802415,174.0937769,171.8698497,6.709861476,1.432304483,174.289013,23.91055908,56.14286709,175.4259433,137.7263241,126.0273932,32.44470519,0.015274028,155.9380679,30.74996668,46.84760554,168.3010541,134.3701901,161.5649121,6.290682095,89.6533843,41.92104825,161.8386666,167.0691435,107.4152131,110.2248285,50.49305985,27.85661274,25.69865722,132.5382246,166.7594406,126.8698115,62.20566778,103.8662246,69.34955911,63.43485212,66.80137846,10.42205881,7.577287928,123.6898982,173.3085294,33.29286001,2.993773972,26.89636748,95.40366407,61.50435511,25.55997912,102.867454,14.43814101,0.602795445,162.7240047,165.9266111,69.55043739,67.80454924,176.1859023,31.1270688,45.0954946,177.5672041,163.827742,1.867461399,23.77250021,33.35412079,50.88040216,7.052212254,103.8662246,36.579453,90.45453435,177.8589899,39.97356277,81.13098158
Feliz,4.525359546,170.5376288,15.94540791,167.1711561,6.831067586,170.5376617,168.6900566,6.709860799,2.792818255,174.2891415,23.91055902,53.13008539,175.6011856,158.1985974,126.0273945,32.44470532,0.015188126,149.7626084,33.9327293,46.33221523,173.6597435,133.8540485,179.9672447,6.290682124,91.20487674,48.01279274,161.8040551,165.2214573,106.5156853,127.8749245,49.21096752,28.30075751,24.30456846,132.4737762,166.7594391,118.4955773,62.70484412,103.4451782,70.8100419,71.56493858,66.80137771,12.63709229,7.846028472,123.689896,173.3085312,33.25119608,2.993772703,21.50157076,93.75160469,61.50435553,22.61988479,103.6914524,14.31002614,0.574420908,161.8288315,164.9315004,84.80554846,66.51861814,176.2217755,31.1312121,47.21928331,174.113965,163.8277457,0.95133708,23.77249917,33.35412017,47.89577698,7.045972241,103.4451782,36.4479654,90.22893202,166.654018,40.05520571,79.84888931
Feliz,5.042516144,171.8698511,13.39252039,168.5033619,6.83106778,168.6900563,170.5376681,6.340214484,1.397414094,179.9445906,23.99728835,58.84067216,175.4259435,146.8886688,124.2374816,32.44470525,3.814103826,154.627112,30.7499671,47.83878298,171.027365,133.8540488,153.4349339,6.290682132,89.65338489,39.28941357,161.8386674,165.2214557,104.0241585,120.5296688,49.2109676,22.75444782,25.6986574,132.4737764,166.7594405,126.8698104,61.1599422,105.387354,68.34432611,75.96364353,66.80137894,12.0708442,7.577287971,123.6898972,173.3085275,32.95524962,2.824698771,21.50164614,95.40366205,61.50435502,1.006316551,101.6639419,13.94013618,1.255529869,162.7240045,165.9266107,69.55043753,60.67953181,177.4738494,30.56043842,46.73279069,170.5376485,163.6517268,1.672405101,30.32372342,26.73221315,50.92237665,7.05221225,105.387354,36.15407837,90.22893214,168.0916766,40.51112483,79.84888931
Feliz,5.75889871,179.972638,13.39252023,164.7448177,7.765219027,174.0937771,174.0937996,1.332325602,1.397414626,174.2891409,23.91055905,63.95815147,175.6011854,137.7263241,126.0273935,32.44470524,0.015286878,149.7626087,30.74996675,46.84760563,168.3010544,138.9644441,161.5635518,6.290682085,91.20487616,41.65857987,161.8745208,166.9539289,104.0241586,110.2248278,50.49305983,22.75444786,24.3045683,133.4233412,166.7594409,118.4955769,62.70484371,105.3873539,69.34956018,63.43485184,66.80137883,12.0708442,7.609529596,123.6898962,173.3085314,32.91358546,2.993773479,21.50157145,93.75160535,50.19442707,1.006333918,102.8674545,14.31002625,0.602795901,162.7240053,162.2417334,85.19202244,67.80454896,176.1859025,30.02617775,45.68090411,171.0273403,160.5296135,2.547591806,23.77249943,33.35411995,51.19391855,7.10346914,105.3873539,36.57945296,90.22893242,177.2736037,39.49938357,81.13098161
Feliz,2.751958756,179.9725929,15.94541407,165.1600055,6.831067191,170.5376619,168.6900563,6.709860775,4.332384178,179.944803,23.91055915,52.12499769,175.6011833,149.0362533,124.2374828,32.44470523,3.814103841,149.7626083,33.93272971,46.33221471,171.0273655,134.3701939,161.5649081,6.290682109,91.20487709,48.01279262,163.8788816,165.2214573,104.0241583,117.3498293,49.03266189,27.40558383,23.26443529,133.4233416,156.037493,118.4955763,62.70484349,102.5776142,68.77580569,75.96364028,66.80137833,12.6370924,7.57728757,143.12951,173.3085326,32.94937051,2.993773359,15.16148264,96.44938899,62.42542961,20.55607476,103.9135006,14.26997019,1.230281643,161.828831,165.7483415,84.80554907,67.80454844,175.6839513,30.9691893,46.73279054,170.5376489,163.8277447,1.672404991,23.77250129,33.85720252,48.20631946,7.034745452,102.5776142,37.12114437,90.22893193,168.0916787,39.57729438,82.05652762
Feliz,5.042514214,170.5376394,13.39252045,167.1711546,6.831065824,168.6900567,168.6900562,6.709861115,4.332384047,179.9444793,23.99728829,55.8563968,175.6011845,149.0362528,127.7630945,32.44470491,2.078424717,154.6271134,33.93272911,47.65738411,170.933466,133.8540554,171.8696512,6.290681834,89.99997981,42.8217071,161.8745191,165.2214648,104.0241585,128.6597575,50.34361905,27.40558345,23.96250726,132.4737785,168.4951473,126.8698129,62.70484241,105.3873538,70.81004007,75.96363996,66.80137905,14.15341033,7.609529196,131.8199288,173.3085318,33.25119579,2.889861413,15.16148402,93.75160743,61.50435475,22.61988857,102.8674552,13.80307701,0.602796636,161.8288305,166.7293346,84.80554773,60.67953157,177.4379759,30.96918883,46.7327908,174.1139647,163.8277428,1.867461278,23.77250234,33.85720401,51.15451328,7.037865977,105.3873538,36.52178899,89.81575772,165.6021336,40.05520262,83.36748464
